transaction_id,order_id,payment_date,paid_amount,payment_status,payment_method
 txn-2084 , ORD-1084 ,2026-09-10 13:30:00,1250.0,SUCCESS,UPI
TXN-2085,ORD-1085,2026-09-11 14:30:00,4800.0,SUCCESS,DEBIT_CARD
TXN-2086,ORD-1086,2026-09-12 15:13:00,17499.5,PARTIAL,UPI
TXN-2087,ORD-1087,2026-09-13 16:17:00,4800.0,SUCCESS,CREDIT_CARD
TXN-2088,ORD-1088,2026-09-14 09:54:00,349.0,SUCCESS,CREDIT_CARD
TXN-2089,ORD-1089,2026-09-15 10:44:00,2499.0,SUCCESS,CREDIT_CARD
TXN-2090,ORD-1090,2026-09-01 11:20:00,6450.0,SUCCESS,DEBIT_CARD
TXN-DUP-2003, ORD-1091 ,2026-09-02 12:21:00,18500.0,SUCCESS,UPI
TXN-2092,ORD-1092,2026-09-03 13:58:00,49990.0,SUCCESS,DEBIT_CARD
TXN-2093,ORD-1093,2026-09-04 14:58:00,2499.0,SUCCESS,UPI
TXN-2094,ORD-1094,2026-09-05 15:53:00,25000.0,SUCCESS,DEBIT_CARD
TXN-2095,ORD-1095,2026-09-06 16:25:00,8750.0,SUCCESS,NETBANKING
TXN-2096,ORD-1096,2026-09-07 10:00:00,4800.0,SUCCESS,UPI
TXN-2097,ORD-1097,2026-09-08 10:30:00,4800.0,SUCCESS,NETBANKING
 txn-2098 , ORD-1098 ,2026-09-09 11:41:00,3200.0,SUCCESS,NETBANKING
TXN-2099,ORD-1099,2026-09-10 12:32:00,34999.0,SUCCESS,CREDIT_CARD
TXN-2100,ORD-1100,2026-09-11 13:50:00,25000.0,SUCCESS,NETBANKING
TXN-2101,ORD-1101,2026-09-12 14:19:00,349.0,SUCCESS,NETBANKING
TXN-2102,ORD-1102,2026-09-13 15:32:00,25000.0,SUCCESS,DEBIT_CARD
TXN-2103,ORD-1103,2026-09-14 16:09:00,24995.0,PARTIAL,DEBIT_CARD
TXN-2104,ORD-1104,2026-09-15 09:48:00,2499.0,SUCCESS,NETBANKING
 txn-2105 , ORD-1105 ,2026-09-01 10:51:00,6450.0,SUCCESS,NETBANKING
TXN-2106,ORD-1106,2026-09-02 11:30:00,2499.0,SUCCESS,NETBANKING
TXN-2107,ORD-1107,2026-09-03 12:56:00,8750.0,SUCCESS,DEBIT_CARD
TXN-2108,ORD-1108,2026-09-04 13:24:00,18500.0,SUCCESS,NETBANKING
TXN-2109,ORD-1109,2026-09-05 14:19:00,18500.0,SUCCESS,CREDIT_CARD
TXN-2110,ORD-1110,2026-09-06 15:25:00,18500.0,SUCCESS,CREDIT_CARD
TXN-2111,ORD-1111,2026-09-07 16:57:00,12500.0,SUCCESS,DEBIT_CARD
 txn-2112 , ORD-1112 ,2026-09-08 09:12:00,2400.0,PARTIAL,CREDIT_CARD
TXN-2113,ORD-1113,2026-09-09 10:40:00,3200.0,SUCCESS,UPI
TXN-2114,ORD-1114,2026-09-10 11:56:00,34999.0,SUCCESS,NETBANKING
TXN-2115,ORD-1115,2026-09-11 12:24:00,6450.0,SUCCESS,NETBANKING
TXN-2116,ORD-1116,2026-09-12 13:54:00,34999.0,SUCCESS,NETBANKING
TXN-2117,ORD-1117,2026-09-13 14:22:00,799.0,SUCCESS,UPI
TXN-2118,ORD-1118,2026-09-14 15:55:00,2499.0,SUCCESS,UPI
 txn-2119 , ORD-1119 ,2026-09-15 16:32:00,25000.0,SUCCESS,CREDIT_CARD
TXN-2120,ORD-1120,2026-09-01 09:46:00,34999.0,SUCCESS,NETBANKING
