settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
STL-3037,TXN-2037,2026-09-09 17:21:00,15999.0,SETTLED,HDFC99038526
STL-3038,TXN-2038,2026-09-10 19:14:00,799.0,SETTLED,HDFC84252420
STL-3039,TXN-2039,2026-09-11 20:54:00,2499.0,SETTLED,HDFC37326368
STL-3040,TXN-2040,2026-09-12 14:16:00,6450.0,SETTLED,HDFC16818112
STL-3041,TXN-2041,2026-09-13 14:52:00,349.0,SETTLED,HDFC54769200
STL-3042, txn-2042 ,2026-09-14 17:52:00,18500.0,SETTLED,HDFC84045292
STL-3043,TXN-2043,2026-09-15 16:35:00,790.0,SETTLED,HDFC30005727
STL-3044,TXN-2044,2026-09-16 17:07:00,1250.0,SETTLED,HDFC27105448
STL-3045,TXN-2045,2026-09-02 16:47:00,49990.0,SETTLED,HDFC38195995
STL-3046,TXN-2046,2026-09-03 18:50:00,25000.0,SETTLED,HDFC93303777
STL-3047,TXN-2047,2026-09-04 20:04:00,25000.0,SETTLED,HDFC65337219
STL-3048,TXN-2048,2026-09-05 11:23:00,25000.0,SETTLED,HDFC45810056
STL-3050,TXN-2050,2026-09-04 11:12:00,3200.0,SETTLED,HDFC39920292
STL-3051,TXN-2051,2026-09-08 16:54:00,4800.0,SETTLED,HDFC19317495
STL-3052,TXN-2052,2026-09-09 15:22:00,8750.0,SETTLED,HDFC81969657
STL-3053,TXN-2053,2026-09-10 19:16:00,1250.0,SETTLED,HDFC15134794
STL-3054,TXN-2054,2026-09-11 17:47:00,17300.0,SETTLED,HDFC68571795
STL-3055,TXN-2055,2026-09-12 18:52:00,2499.0,SETTLED,HDFC15957459
STL-3056, txn-2056 ,2026-09-13 13:29:00,49990.0,SETTLED,HDFC58884978
STL-3057,TXN-2057,2026-09-14 15:37:00,1440.0,ON_HOLD,INVALID_REF
STL-3058,TXN-2058,2026-09-15 16:12:00,5000.0,SETTLED,HDFC84411983
STL-3059,TXN-2059,2026-09-16 17:41:00,5000.0,SETTLED,HDFC92613013
STL-3061,TXN-2061,2026-09-03 17:36:00,12500.0,SETTLED,HDFC72409658
STL-3062,TXN-2062,2026-09-04 21:10:00,6450.0,SETTLED,HDFC98429450
STL-3063, txn-2063 ,2026-09-05 20:05:00,15999.0,SETTLED,HDFC22534217
STL-3064,TXN-2064,2026-09-06 11:10:00,3200.0,SETTLED,HDFC36726767
STL-3065,TXN-2065,2026-09-07 16:41:00,6450.0,SETTLED,HDFC71124923
STL-3066,TXN-2066,2026-09-08 14:29:00,18500.0,SETTLED,HDFC76354180
STL-3067,TXN-2067,2026-09-09 15:56:00,18500.0,SETTLED,HDFC24305904
STL-3068,TXN-2068,2026-09-10 15:39:00,25000.0,SETTLED,HDFC16740197
STL-3069,TXN-2069,2026-09-11 20:42:00,1250.0,SETTLED,HDFC99600766
STL-3070, txn-2070 ,2026-09-12 22:04:00,25000.0,SETTLED,HDFC92228802
STL-3071,TXN-2071,2026-09-13 22:01:00,34999.0,SETTLED,HDFC31361812
STL-3072,TXN-2072,2026-09-14 15:30:00,3200.0,SETTLED,HDFC95585469
STL-3073,TXN-2073,2026-09-15 14:30:00,15999.0,SETTLED,HDFC46855845
STL-3074,TXN-2074,2026-09-16 14:06:00,3200.0,SETTLED,HDFC52910691
STL-3075,TXN-2075,2026-09-02 15:47:00,1250.0,SETTLED,HDFC61410126
STL-3077,TXN-DUP-2003,2026-09-04 21:10:00,2499.0,SETTLED,HDFC62274692
STL-3078,TXN-2078,2026-09-05 19:06:00,104.7,ON_HOLD,INVALID_REF
STL-3080,TXN-2080,2026-09-07 14:19:00,49990.0,SETTLED,HDFC75529051
STL-3081,TXN-2081,2026-09-08 15:53:00,-151.0,SETTLED,HDFC55114543
STL-3082,TXN-2082,2026-09-09 16:35:00,49990.0,SETTLED,HDFC93517915
STL-3084, txn-2084 ,2026-09-11 16:30:00,1250.0,SETTLED,HDFC44917589
STL-3085,TXN-2085,2026-09-12 19:30:00,4800.0,SETTLED,HDFC60885459
STL-3086,TXN-2086,2026-09-13 21:13:00,10499.7,ON_HOLD,INVALID_REF
STL-3088,TXN-2088,2026-09-15 15:54:00,349.0,SETTLED,HDFC36757737
STL-3089,TXN-2089,2026-10-30 10:44:00,2499.0,SETTLED,HDFC73560289
STL-3090,TXN-2090,2026-09-02 17:20:00,6450.0,SETTLED,HDFC59512272
STL-3091,TXN-DUP-2003,2026-09-03 18:21:00,18500.0,SETTLED,HDFC31980274
STL-3092,TXN-2092,2026-09-04 18:58:00,48790.0,SETTLED,HDFC87282128
STL-3093,TXN-2093,2026-09-05 17:58:00,2496.5,SETTLED,HDFC89470029
STL-3094,TXN-2094,2026-09-06 21:53:00,24750.0,SETTLED,HDFC90585882
STL-3095,TXN-2095,2026-09-07 22:25:00,8750.0,SETTLED,HDFC98787891
STL-3096,TXN-2096,2026-09-08 12:00:00,4800.0,SETTLED,HDFC66379329
STL-3098, txn-2098 ,2026-09-10 17:41:00,3195.0,SETTLED,HDFC72394301
STL-3099,TXN-2099,2026-09-11 17:32:00,34999.0,SETTLED,HDFC21631697
STL-3100,TXN-2100,2026-09-12 18:50:00,25000.0,SETTLED,HDFC86483924
STL-3101,TXN-2101,2026-09-13 17:19:00,349.0,SETTLED,HDFC53622663
STL-3103,TXN-2103,2026-09-15 19:09:00,14997.0,ON_HOLD,INVALID_REF
STL-3104,TXN-2104,2026-09-16 12:48:00,2499.0,SETTLED,HDFC75575808
STL-3105, txn-2105 ,2026-09-02 12:51:00,6450.0,SETTLED,HDFC70152969
STL-3106,TXN-2106,2026-09-03 17:30:00,2494.0,SETTLED,HDFC42655866
STL-3107,TXN-2107,2026-09-04 16:56:00,8750.0,SETTLED,HDFC67110154
STL-3108,TXN-2108,2026-09-05 16:24:00,18500.0,SETTLED,HDFC46361787
STL-3109,TXN-2109,2026-10-20 14:19:00,18500.0,SETTLED,HDFC52352128
STL-3110,TXN-2110,2026-09-07 20:25:00,17750.0,SETTLED,HDFC35708194
STL-3111,TXN-2111,2026-09-08 20:57:00,12500.0,SETTLED,HDFC23492385
STL-3112, txn-2112 ,2026-09-09 15:12:00,1440.0,ON_HOLD,INVALID_REF
STL-3113,TXN-2113,2026-09-10 13:40:00,3200.0,SETTLED,HDFC17318358
STL-3114,TXN-2114,2026-09-11 17:56:00,34999.0,SETTLED,HDFC23769080
STL-3115,TXN-2115,2026-09-12 14:24:00,6450.0,SETTLED,HDFC69118721
STL-3116,TXN-2116,2026-09-13 18:54:00,34999.0,SETTLED,HDFC25312516
STL-3117,TXN-2117,2026-09-14 20:22:00,49.0,SETTLED,HDFC30364454
STL-3118,TXN-2118,2026-09-15 21:55:00,2499.0,SETTLED,HDFC84903294
STL-3119, txn-2119 ,2026-09-16 21:32:00,25000.0,SETTLED,HDFC80138498
STL-3120,TXN-2120,2026-09-02 11:46:00,34990.0,SETTLED,HDFC50987442
