order_id,transaction_id,expected_status,expected_difference,notes
ORD-1051,TXN-2051,MATCHED,0.0,Scenario: MATCHED
ORD-1052,TXN-2052,MATCHED,0.0,Scenario: MATCHED
ORD-1053,TXN-2053,MATCHED,0.0,Scenario: MATCHED
ORD-1054,TXN-2054,AMOUNT_MISMATCH,1200.0,Under-settlement discrepancy of ₹1200.0
ORD-1055,TXN-2055,MATCHED,0.0,Scenario: MATCHED
ORD-1056,TXN-2056,MATCHED,0.0,Scenario: MATCHED
ORD-1057,TXN-2057,UNRESOLVED,3360.0,Multi-anomaly conflict: partial capture with invalid bank reference and amount mismatch
ORD-1058,TXN-2058,MATCHED,0.0,Scenario: MATCHED
ORD-1059,TXN-2059,MATCHED,0.0,Scenario: MATCHED
ORD-1060,TXN-2060,MISSING_SETTLEMENT,0.0,Payment captured but omitted from bank settlement batch
ORD-1061,TXN-2061,MATCHED,0.0,Scenario: MATCHED
ORD-1062,TXN-2062,MATCHED,0.0,Scenario: MATCHED
ORD-1063,TXN-2063,MATCHED,0.0,Scenario: MATCHED
ORD-1064,TXN-2064,MATCHED,0.0,Scenario: MATCHED
ORD-1065,TXN-2065,MATCHED,0.0,Scenario: MATCHED
ORD-1066,TXN-2066,MATCHED,0.0,Scenario: MATCHED
ORD-1067,TXN-2067,MATCHED,0.0,Scenario: MATCHED
ORD-1068,TXN-2068,MATCHED,0.0,Scenario: MATCHED
ORD-1069,TXN-2069,MATCHED,0.0,Scenario: MATCHED
ORD-1070,TXN-2070,MATCHED,0.0,Scenario: MATCHED
ORD-1071,TXN-2071,MATCHED,0.0,Scenario: MATCHED
ORD-1072,TXN-2072,MATCHED,0.0,Scenario: MATCHED
ORD-1073,TXN-2073,MATCHED,0.0,Scenario: MATCHED
ORD-1074,TXN-2074,MATCHED,0.0,Scenario: MATCHED
ORD-1075,TXN-2075,MATCHED,0.0,Scenario: MATCHED
ORD-1076,TXN-2076,MISSING_SETTLEMENT,0.0,Payment captured but omitted from bank settlement batch
ORD-1077,TXN-DUP-2003,DUPLICATE,0.0,Duplicate transaction instance A
ORD-1078,TXN-2078,UNRESOLVED,244.3,Multi-anomaly conflict: partial capture with invalid bank reference and amount mismatch
ORD-1079,TXN-2079,MISSING_PAYMENT,0.0,Order created but payment gateway webhook dropped/missing
ORD-1080,TXN-2080,MATCHED,0.0,Scenario: MATCHED
ORD-1081,TXN-2081,AMOUNT_MISMATCH,500.0,Under-settlement discrepancy of ₹500.0
ORD-1082,TXN-2082,MATCHED,0.0,Scenario: MATCHED
ORD-1083,TXN-2083,MISSING_SETTLEMENT,0.0,Payment captured but omitted from bank settlement batch
ORD-1084,TXN-2084,MATCHED,0.0,Scenario: MATCHED
ORD-1085,TXN-2085,MATCHED,0.0,Scenario: MATCHED
ORD-1086,TXN-2086,UNRESOLVED,24499.3,Multi-anomaly conflict: partial capture with invalid bank reference and amount mismatch
ORD-1087,TXN-2087,MISSING_SETTLEMENT,0.0,Payment captured but omitted from bank settlement batch
ORD-1088,TXN-2088,MATCHED,0.0,Scenario: MATCHED
ORD-1089,TXN-2089,DATE_MISMATCH,0.0,Settlement delayed by >35 days (abnormal settlement drift)
ORD-1090,TXN-2090,MATCHED,0.0,Scenario: MATCHED
ORD-1091,TXN-DUP-2003,DUPLICATE,0.0,Duplicate transaction instance B (collision)
ORD-1092,TXN-2092,AMOUNT_MISMATCH,1200.0,Under-settlement discrepancy of ₹1200.0
ORD-1093,TXN-2093,MATCHED_WITH_TOLERANCE,2.5,Minor settlement delta of ₹2.5 (within ₹10 tolerance)
ORD-1094,TXN-2094,AMOUNT_MISMATCH,250.0,Under-settlement discrepancy of ₹250.0
ORD-1095,TXN-2095,MATCHED,0.0,Scenario: MATCHED
ORD-1096,TXN-2096,MATCHED,0.0,Scenario: MATCHED
ORD-1097,TXN-2097,MISSING_SETTLEMENT,0.0,Payment captured but omitted from bank settlement batch
ORD-1098,TXN-2098,MATCHED_WITH_TOLERANCE,5.0,Minor settlement delta of ₹5.0 (within ₹10 tolerance)
ORD-1099,TXN-2099,MATCHED,0.0,Scenario: MATCHED
ORD-1100,TXN-2100,MATCHED,0.0,Scenario: MATCHED
ORD-1101,TXN-2101,MATCHED,0.0,Scenario: MATCHED
ORD-1102,TXN-2102,MISSING_SETTLEMENT,0.0,Payment captured but omitted from bank settlement batch
ORD-1103,TXN-2103,UNRESOLVED,34993.0,Multi-anomaly conflict: partial capture with invalid bank reference and amount mismatch
ORD-1104,TXN-2104,MATCHED,0.0,Scenario: MATCHED
ORD-1105,TXN-2105,MATCHED,0.0,Scenario: MATCHED
ORD-1106,TXN-2106,MATCHED_WITH_TOLERANCE,5.0,Minor settlement delta of ₹5.0 (within ₹10 tolerance)
ORD-1107,TXN-2107,MATCHED,0.0,Scenario: MATCHED
ORD-1108,TXN-2108,MATCHED,0.0,Scenario: MATCHED
ORD-1109,TXN-2109,DATE_MISMATCH,0.0,Settlement delayed by >35 days (abnormal settlement drift)
ORD-1110,TXN-2110,AMOUNT_MISMATCH,750.0,Under-settlement discrepancy of ₹750.0
ORD-1111,TXN-2111,MATCHED,0.0,Scenario: MATCHED
ORD-1112,TXN-2112,UNRESOLVED,3360.0,Multi-anomaly conflict: partial capture with invalid bank reference and amount mismatch
ORD-1113,TXN-2113,MATCHED,0.0,Scenario: MATCHED
ORD-1114,TXN-2114,MATCHED,0.0,Scenario: MATCHED
ORD-1115,TXN-2115,MATCHED,0.0,Scenario: MATCHED
ORD-1116,TXN-2116,MATCHED,0.0,Scenario: MATCHED
ORD-1117,TXN-2117,AMOUNT_MISMATCH,750.0,Under-settlement discrepancy of ₹750.0
ORD-1118,TXN-2118,MATCHED,0.0,Scenario: MATCHED
ORD-1119,TXN-2119,MATCHED,0.0,Scenario: MATCHED
ORD-1120,TXN-2120,MATCHED_WITH_TOLERANCE,9.0,Minor settlement delta of ₹9.0 (within ₹10 tolerance)
