transaction_id,order_id,paid_amount,payment_status,payment_method,payment_date
pay_SEP20074,ORD-SEP-1074,24500.0,captured,CREDIT_CARD,2026-09-03 05:10:15
pay_SEP20075,ORD-SEP-1075,24500.0,captured,NETBANKING,2026-09-03 05:45:15
pay_SEP20086,ORD-SEP-1086,12900.0,captured,CREDIT_CARD,2026-09-03 12:10:10
pay_SEP20087,ORD-SEP-1087,1250.0,captured,NETBANKING,2026-09-03 12:45:10
pay_SEP20088,ORD-SEP-1088,48000.0,captured,NETBANKING,2026-09-03 13:20:10
pay_SEP20089,ORD-SEP-1089,499.0,captured,CREDIT_CARD,2026-09-03 13:55:10
pay_SEP20090,ORD-SEP-1090,2999.0,captured,NETBANKING,2026-09-03 14:30:10
pay_SEP20091,ORD-SEP-1091,5499.0,captured,NETBANKING,2026-09-03 15:05:10
pay_SEP20092,ORD-SEP-1092,24500.0,captured,UPI,2026-09-03 15:40:10
pay_SEP20093,ORD-SEP-1093,499.0,captured,UPI,2026-09-03 16:15:10
pay_SEP20094,ORD-SEP-1094,48000.0,captured,DEBIT_CARD,2026-09-03 16:50:14
pay_SEP20095,ORD-SEP-1095,1250.0,captured,UPI,2026-09-03 17:25:14
pay_SEP20096,ORD-SEP-1096,12900.0,captured,CREDIT_CARD,2026-09-03 18:00:14
pay_SEP20097,ORD-SEP-1097,5499.0,captured,CREDIT_CARD,2026-09-03 18:35:14
pay_SEP20098,ORD-SEP-1098,5499.0,captured,DEBIT_CARD,2026-09-03 19:10:14
pay_SEP20099,ORD-SEP-1099,5499.0,captured,UPI,2026-09-03 19:45:10
pay_SEP20099_DUP,ORD-SEP-1099,5499.0,captured,UPI,2026-09-03 19:45:15
pay_SEP20100,ORD-SEP-1100,499.0,captured,UPI,2026-09-03 20:20:10
pay_SEP20100_DUP,ORD-SEP-1100,499.0,captured,UPI,2026-09-03 20:20:15
