settlement_id,transaction_id,settled_amount,bank_reference,settlement_date
SETTLE-SEP-30026,pay_SEP20026,1250.0,UTR998840026,2026-09-03 01:10:00
SETTLE-SEP-30027,pay_SEP20027,1250.0,UTR998840027,2026-09-03 01:45:00
SETTLE-SEP-30028,pay_SEP20028,24500.0,UTR998840028,2026-09-03 02:20:00
SETTLE-SEP-30029,pay_SEP20029,12900.0,UTR998840029,2026-09-03 02:55:00
SETTLE-SEP-30030,pay_SEP20030,12900.0,UTR998840030,2026-09-03 03:30:00
SETTLE-SEP-30031,pay_SEP20031,1250.0,UTR998840031,2026-09-03 04:05:00
SETTLE-SEP-30032,pay_SEP20032,2999.0,UTR998840032,2026-09-03 04:40:00
SETTLE-SEP-30033,pay_SEP20033,24500.0,UTR998840033,2026-09-03 05:15:00
SETTLE-SEP-30034,pay_SEP20034,1250.0,UTR998840034,2026-09-03 05:50:00
SETTLE-SEP-30035,pay_SEP20035,48000.0,UTR998840035,2026-09-03 06:25:00
SETTLE-SEP-30036,pay_SEP20036,2999.0,UTR998840036,2026-09-03 07:00:00
SETTLE-SEP-30037,pay_SEP20037,12900.0,UTR998840037,2026-09-03 07:35:00
SETTLE-SEP-30038,pay_SEP20038,1250.0,UTR998840038,2026-09-03 08:10:00
SETTLE-SEP-30039,pay_SEP20039,5499.0,UTR998840039,2026-09-03 08:45:00
SETTLE-SEP-30040,pay_SEP20040,1250.0,UTR998840040,2026-09-03 09:20:00
SETTLE-SEP-30041,pay_SEP20041,1250.0,UTR998840041,2026-09-03 09:55:00
SETTLE-SEP-30042,pay_SEP20042,24500.0,UTR998840042,2026-09-03 10:30:00
SETTLE-SEP-30043,pay_SEP20043,12900.0,UTR998840043,2026-09-03 11:05:00
SETTLE-SEP-30044,pay_SEP20044,1250.0,UTR998840044,2026-09-03 11:40:00
SETTLE-SEP-30045,pay_SEP20045,499.0,UTR998840045,2026-09-03 12:15:00
SETTLE-SEP-30046,pay_SEP20046,48000.0,UTR998840046,2026-09-03 12:50:00
SETTLE-SEP-30047,pay_SEP20047,24500.0,UTR998840047,2026-09-03 13:25:00
SETTLE-SEP-30048,pay_SEP20048,12900.0,UTR998840048,2026-09-03 14:00:00
SETTLE-SEP-30049,pay_SEP20049,5499.0,UTR998840049,2026-09-03 14:35:00
SETTLE-SEP-30050,pay_SEP20050,12900.0,UTR998840050,2026-09-03 15:10:00
SETTLE-SEP-30051,pay_SEP20051,24500.0,UTR998840051,2026-09-03 15:45:00
SETTLE-SEP-30052,pay_SEP20052,24500.0,UTR998840052,2026-09-03 16:20:00
SETTLE-SEP-30053,pay_SEP20053,48000.0,UTR998840053,2026-09-03 16:55:00
SETTLE-SEP-30054,pay_SEP20054,499.0,UTR998840054,2026-09-03 17:30:00
SETTLE-SEP-30055,pay_SEP20055,1250.0,UTR998840055,2026-09-03 18:05:00
SETTLE-SEP-30056,pay_SEP20056,24500.0,UTR998840056,2026-09-03 18:40:00
SETTLE-SEP-30057,pay_SEP20057,12900.0,UTR998840057,2026-09-03 19:15:00
SETTLE-SEP-30058,pay_SEP20058,12900.0,UTR998840058,2026-09-03 19:50:00
SETTLE-SEP-30059,pay_SEP20059,48000.0,UTR998840059,2026-09-03 20:25:00
SETTLE-SEP-30060,pay_SEP20060,48000.0,UTR998840060,2026-09-03 21:00:00
SETTLE-SEP-30061,pay_SEP20061,1250.0,UTR998840061,2026-09-03 21:35:00
SETTLE-SEP-30062,pay_SEP20062,12900.0,UTR998840062,2026-09-03 22:10:00
SETTLE-SEP-30063,pay_SEP20063,12900.0,UTR998840063,2026-09-03 22:45:00
SETTLE-SEP-30064,pay_SEP20064,499.0,UTR998840064,2026-09-03 23:20:00
SETTLE-SEP-30065,pay_SEP20065,48000.0,UTR998840065,2026-09-03 23:55:00
SETTLE-SEP-30066,pay_SEP20066,1220.5,UTR998840066,2026-09-04 00:30:00
SETTLE-SEP-30067,pay_SEP20067,12595.56,UTR998840067,2026-09-04 01:05:00
SETTLE-SEP-30068,pay_SEP20068,23921.8,UTR998840068,2026-09-04 01:40:00
SETTLE-SEP-30069,pay_SEP20069,46867.2,UTR998840069,2026-09-04 02:15:00
SETTLE-SEP-30070,pay_SEP20070,1220.5,UTR998840070,2026-09-04 02:50:00
SETTLE-SEP-30071,pay_SEP20071,12595.56,UTR998840071,2026-09-04 03:25:00
SETTLE-SEP-30072,pay_SEP20072,12595.56,UTR998840072,2026-09-04 04:00:00
SETTLE-SEP-30073,pay_SEP20073,1220.5,UTR998840073,2026-09-04 04:35:00
SETTLE-SEP-30074,pay_SEP20074,23921.8,UTR998840074,2026-09-04 05:10:00
SETTLE-SEP-30075,pay_SEP20075,23921.8,UTR998840075,2026-09-04 05:45:00
SETTLE-SEP-30094,pay_SEP20094,48000.0,UTR998840094,2026-09-06 16:50:00
SETTLE-SEP-30095,pay_SEP20095,1250.0,UTR998840095,2026-09-06 17:25:00
SETTLE-SEP-30096,pay_SEP20096,12900.0,UTR998840096,2026-09-06 18:00:00
SETTLE-SEP-30097,pay_SEP20097,5499.0,UTR998840097,2026-09-06 18:35:00
SETTLE-SEP-30098,pay_SEP20098,5499.0,UTR998840098,2026-09-06 19:10:00
SETTLE-SEP-30099,pay_SEP20099,5499.0,UTR998840099,2026-09-04 19:45:00
SETTLE-SEP-30100,pay_SEP20100,499.0,UTR998840100,2026-09-04 20:20:00
